total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
18,3.5682312575788506,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,12.594572,17.7,0.24814074,0.24792194366455078,209.73011589050293,27.167717218399048
19,3.5702668634823898,100,11834.285,yolov5n,4.649477005004883,0.5166085561116537,9,10.93619,13.8,0.237480081,0.23731589317321777,210.1293535232544,28.664987802505493
20,3.5547399720326887,100,9730.288,yolov5s,6.712863773107529,0.6102603430097754,11,11.39023,12.2,0.230650944,0.23046016693115234,210.4539759159088,29.978489875793457
21,3.5410080388642964,100,9730.288,yolov5l,7.96371653676033,0.7239742306145754,11,11.76468,13.1,0.248340915,0.24817109107971191,210.87112140655518,31.278709173202515
22,3.5739833800031526,100,9659.386,yolov5n,0,0.7239742306145754,0,11.16208,14.1,0.22951279500000002,0.2293403148651123,211.13065934181213,32.56044602394104
23,3.559493740417646,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,11.454133,12.5,0.24002089199999999,0.23981404304504395,211.48988246917725,33.84411835670471
24,3.3083003451414017,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,13.094876,13.3,0.2473659,0.24715638160705566,211.85048747062683,35.10490274429321
25,3.639743576054612,100,12456.22,yolov5n,2.723424941301346,0.6808562353253365,4,11.710053,14.3,0.238571467,0.23834753036499023,212.493732213974,36.66806244850159
26,3.5792207416021005,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,12.263519,13.1,0.251147254,0.25094079971313477,212.72632718086243,37.97035622596741
27,3.480482830227644,100,11834.285,yolov5s,5.025311082601547,0.6281638853251934,8,11.604158,13.9,0.240555566,0.24036574363708496,213.29843497276306,39.4536406993866
28,3.7132623231834594,100,9659.386,yolov5m,0,0.6281638853251934,0,11.394991,12.9,0.235780026,0.23556852340698242,213.50445985794067,40.73202157020569
29,3.5632978452815025,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,11.907806,13.3,0.234501693,0.23431158065795898,213.8688600063324,42.02370071411133
30,3.805167127366637,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,11.210299,13.1,0.228326419,0.22814607620239258,214.26454901695251,43.300424575805664
31,3.596596725504681,100,12456.22,yolov5l,4.568897902965546,0.7614829838275909,6,13.374722,15.2,0.25672504,0.25653648376464844,214.90084600448608,44.88166880607605
