total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
29,3.5632978452815025,100,12456.22,yolov5m,6.646654725074768,0.6042413386431608,11,12.574186,13.8,0.256314911,0.2508735656738281,234.26419067382812,40.48397946357727
30,3.805167127366637,100,9659.386,yolov5m,0,0.6042413386431608,0,11.496675,12.8,0.235919522,0.2310943603515625,234.47613406181335,41.74024319648743
31,3.596596725504681,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,12.728788,14.3,0.25564675,0.2491292953491211,235.13094663619995,43.26834678649902
32,3.6188153065521735,100,12456.22,yolov5m,6.646654725074768,0.6042413386431608,11,12.466826,13.3,0.25567757999999996,0.2505364418029785,235.46056652069092,44.813129901885986
33,3.6936830858886913,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,12.471403,12.9,0.24715485999999998,0.2406153678894043,235.7494695186615,46.21429419517517
34,3.9360759950600688,100,11041.687,yolov5n,0.53394415974617,0.266972079873085,2,11.657868,12.6,0.238980217,0.23248505592346191,236.15016651153564,47.604421615600586
35,4.0600786558456585,100,12456.22,yolov5l,4.568897902965546,0.7614829838275909,6,28.340381,13.8,0.558184489,0.5549077987670898,237.05976963043213,49.483638763427734
36,4.33366107332879,100,12694.89,yolov5l,5.359763652086258,0.7656805217266083,7,12.746427,12.5,0.258497136,0.25333571434020996,237.22970724105835,51.025026082992554
37,4.050496135172191,100,12694.89,yolov5l,5.359763652086258,0.7656805217266083,7,13.196377,12.9,0.260470964,0.25550198554992676,237.73601579666138,52.60827088356018
38,3.5284955525239123,100,11041.687,yolov5l,2.6971555650234222,0.4495259275039037,6,13.32919,13.3,0.263099107,0.257401704788208,238.02516555786133,54.03387689590454
39,3.542774423155538,100,11041.687,yolov5n,0.53394415974617,0.266972079873085,2,11.286776,12.5,0.231186728,0.2265467643737793,238.33678531646729,55.4002320766449
40,3.72686415559897,100,11041.687,yolov5n,0.53394415974617,0.266972079873085,2,12.983914,14.9,0.240499093,0.2360095977783203,238.119624376297,56.80111384391785
41,3.57954401862843,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,12.071685,12.9,0.241887665,0.23687410354614258,238.51078033447266,58.180235624313354
42,3.7119632693317497,100,11041.687,yolov5n,0.53394415974617,0.266972079873085,2,11.732697,12.8,0.237549286,0.23293542861938477,238.89136242866516,59.57891368865967
43,3.5973303840143034,100,11834.285,yolov5n,4.649477005004883,0.5166085561116537,9,11.487031,12.5,0.236421993,0.23154187202453613,238.97758722305298,61.03771996498108
44,3.555770207568366,100,11834.285,yolov5m,5.67914953827858,0.7098936922848225,8,11.985015,12.8,0.245558209,0.2413325309753418,238.81092143058777,62.50457501411438
45,3.3868868462837973,100,11834.285,yolov5n,4.649477005004883,0.5166085561116537,9,11.534456,13.7,0.237512742,0.23243236541748047,238.39558935165405,63.99190950393677
46,3.327467681581226,100,12456.22,yolov5m,6.646654725074768,0.6042413386431608,11,12.034515,13.0,0.247090398,0.2422924041748047,238.15368700027466,65.5202624797821
47,3.3699774816673167,100,12456.22,yolov5m,6.646654725074768,0.6042413386431608,11,12.040008,12.5,0.244433217,0.2397608757019043,238.580148935318,67.0601122379303
48,3.2187763456725134,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,11.748261,12.5,0.233803557,0.22882819175720215,238.31520342826843,68.32808637619019
49,3.246381448799643,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,12.965421,12.8,0.25379070600000003,0.24813270568847656,238.94375371932983,69.85327935218811
50,3.521635114060424,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,11.595735,12.9,0.231876691,0.22597527503967285,239.16632461547852,71.13196969032288
51,3.5094579450929153,100,12456.22,yolov5m,6.646654725074768,0.6042413386431608,11,12.288237,13.6,0.24613642000000002,0.2411329746246338,239.80559420585632,72.65385150909424
