total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
1,3.005601177591367,100,15432.59,yolov5n,4.378605306148529,0.6255150437355042,7,117.456547,12.2,2.955320324,2.9495413303375244,135.98019099235535,2.9540295600891113
2,3.8462361025198364,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,30.716901,13.7,0.609455373,0.6068947315216064,136.34080910682678,4.593930959701538
3,3.5236847258419632,100,11041.687,yolov5x,3.1298563480377197,0.44712233543395996,7,42.835523,14.9,0.8054194969999999,0.8052899837493896,137.3705449104309,6.4928202629089355
4,3.609265262156677,100,12456.22,yolov5m,6.646654725074768,0.6042413386431608,11,23.628846,12.4,0.473723053,0.4735903739929199,138.0688352584839,8.245538711547852
5,3.473911236384007,100,12694.89,yolov5s,5.932734489440918,0.6591927210489908,9,18.583265,14.3,0.36969609999999997,0.36948275566101074,138.6518292427063,9.955663442611694
6,3.8955515975715094,100,12694.89,yolov5n,5.3460710644721985,0.5940078960524665,9,12.063811,14.3,0.240908342,0.24079489707946777,139.0747673511505,11.532454252243042
7,3.6956480288361395,100,7448.131,yolov5l,0,0.5940078960524665,0,10.719638,14.1,0.221707841,0.22157025337219238,138.50736927986145,12.599281787872314
8,3.4988072373730548,100,7448.131,yolov5x,0.6505106687545776,0.6505106687545776,1,11.115573,14.5,0.228605058,0.22849774360656738,138.7542815208435,13.645939111709595
9,3.5725907072981347,100,7448.131,yolov5m,0,0.6505106687545776,0,10.137242,15.0,0.206972437,0.2068338394165039,139.04591155052185,14.662017107009888
10,3.283081810212966,100,7448.131,yolov5s,0,0.6505106687545776,0,10.540317,14.3,0.215880616,0.21576952934265137,139.3536159992218,15.709964752197266
11,3.5126389000428975,100,7448.131,yolov5n,0,0.6505106687545776,0,7.052533,9.7,0.19542410000000002,0.19531583786010742,139.55852603912354,16.71643352508545
12,3.6662939371593675,100,15432.59,yolov5l,7.088645935058594,0.6444223577325995,11,13.797694,15.8,0.279844566,0.27971911430358887,140.5430257320404,18.619486808776855
13,3.5965908010581997,100,9659.386,yolov5x,0.6151313185691833,0.3075656592845917,2,12.444182,13.1,0.251204899,0.25108766555786133,140.26342248916626,19.90908122062683
14,3.7693152347802417,100,9659.386,yolov5m,0,0.3075656592845917,0,12.061859,10.1,0.25003506,0.24992990493774414,140.67751598358154,21.17043948173523
15,3.799086021948839,100,9730.288,yolov5s,6.712863773107529,0.6102603430097754,11,11.488985,14.3,0.22761258799999998,0.22750115394592285,140.9218294620514,22.44300651550293
16,3.6861913427674873,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,11.164827,15.3,0.234558782,0.2344493865966797,141.27567648887634,23.73366951942444
17,3.6040612114635526,100,11041.687,yolov5l,2.6971555650234222,0.4495259275039037,6,12.979398,14.3,0.253803549,0.25368261337280273,141.75825309753418,25.155738592147827
18,3.5682312575788506,100,11041.687,yolov5x,3.1298563480377197,0.44712233543395996,7,13.679165,13.9,0.269868163,0.2697482109069824,142.08681392669678,26.590040683746338
19,3.5702668634823898,100,9659.386,yolov5m,0,0.44712233543395996,0,11.861298,14.8,0.24673140799999999,0.24661779403686523,142.35752391815186,27.875933170318604
20,3.5547399720326887,100,11041.687,yolov5s,1.2377407550811768,0.3094351887702942,4,12.804044,14.6,0.25684293599999997,0.2567276954650879,142.8768925666809,29.29821753501892
21,3.5410080388642964,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,10.925326,13.6,0.22970554099999999,0.229569673538208,143.15484857559204,30.578890800476074
22,3.5739833800031526,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,11.820405,15.3,0.242879029,0.24275732040405273,143.56171441078186,31.882625102996826
23,3.559493740417646,100,9659.386,yolov5x,0.6151313185691833,0.3075656592845917,2,17.821732,17.4,0.275397953,0.2752354145050049,143.9260857105255,33.20978593826294
24,3.3083003451414017,100,9659.386,yolov5m,0,0.3075656592845917,0,11.990936,19.7,0.23771376500000002,0.23759984970092773,144.3780541419983,34.510796546936035
25,3.639743576054612,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,11.111421,18.2,0.228318886,0.22819852828979492,144.82541871070862,35.81530165672302
26,3.5792207416021005,100,9659.386,yolov5n,0,0.32736313343048096,0,12.370512,14.2,0.248519055,0.24840688705444336,145.10603833198547,37.11054301261902
